click_id,timestamp,user_id,campaign_id,publisher_id,device,geo
1,2026-02-12 14:09:16.035014,3513,41,1,ios,IN
2,2026-02-22 23:04:16.035039,3765,27,3,android,UK
3,2026-01-01 05:04:16.035042,1798,1,12,android,US
4,2026-01-16 10:38:16.035045,1474,17,7,ios,US
5,2026-02-19 04:59:16.035047,3448,48,5,android,UK
6,2025-12-28 08:18:16.035051,2462,34,1,ios,US
7,2026-01-28 17:30:16.035054,4949,14,1,android,CA
8,2025-12-24 19:06:16.035059,1604,17,15,ios,CA
9,2026-01-23 21:53:16.035063,3979,3,8,ios,UK
10,2026-01-12 17:01:16.035067,4044,34,11,ios,UK
11,2026-02-12 10:21:16.035070,3969,40,14,desktop,US
12,2026-01-26 00:34:16.035072,1820,25,13,desktop,IN
13,2026-01-07 21:03:16.035075,3704,2,19,desktop,AU
14,2026-01-09 13:04:16.035078,1597,34,12,android,CA
15,2026-02-23 00:35:16.035081,2532,26,19,ios,CA
16,2026-01-13 01:49:16.035084,4224,31,4,android,UK
17,2026-01-10 20:09:16.035086,1513,9,4,android,IN
18,2026-01-09 11:19:16.035089,2526,30,3,ios,UK
19,2026-01-07 08:35:16.035092,2877,20,6,desktop,US
20,2026-02-19 20:53:16.035095,4972,21,5,android,IN
21,2025-12-27 20:20:16.035098,4843,29,11,android,US
22,2026-01-17 06:17:16.035100,2699,25,9,android,CA
23,2025-12-26 07:39:16.035103,2029,38,3,desktop,UK
24,2026-02-03 15:11:16.035108,1499,44,9,ios,UK
25,2026-01-04 14:32:16.035111,2684,25,12,ios,AU
26,2025-12-20 23:08:16.035115,1716,9,3,android,IN
27,2026-02-05 17:46:16.035117,2141,39,17,ios,CA
28,2025-12-26 21:26:16.035120,2508,44,12,desktop,AU
29,2026-02-10 18:13:16.035123,3648,26,18,ios,AU
30,2026-02-21 15:37:16.035125,1665,37,4,android,UK
31,2026-01-13 11:34:16.035128,4750,16,10,android,IN
32,2026-01-08 21:59:16.035130,3515,37,18,ios,UK
33,2025-12-26 18:30:16.035133,3208,12,8,android,IN
34,2026-01-29 17:11:16.035137,3317,24,9,desktop,AU
35,2026-01-07 17:29:16.035140,2079,26,19,desktop,US
36,2026-01-15 01:18:16.035143,1227,20,13,desktop,CA
37,2026-01-08 04:01:16.035145,3896,9,6,desktop,AU
38,2026-02-01 15:33:16.035148,1148,23,7,android,UK
39,2026-02-15 15:30:16.035151,2069,39,6,android,CA
40,2026-01-06 13:52:16.035154,2167,29,11,ios,AU
41,2026-02-20 20:34:16.035157,4821,31,17,android,IN
42,2026-01-25 15:58:16.035160,4855,19,19,ios,UK
43,2025-12-18 16:48:16.035163,1631,20,12,android,AU
44,2025-12-29 23:26:16.035165,2363,23,13,ios,IN
45,2025-12-24 22:11:16.035168,1412,43,18,ios,IN
46,2026-02-16 04:17:16.035171,2755,27,7,desktop,IN
47,2026-02-17 10:52:16.035173,1519,30,5,ios,CA
48,2026-01-03 04:35:16.035176,2367,21,16,ios,UK
49,2026-01-24 16:43:16.035179,3434,44,4,ios,IN
50,2026-01-01 09:32:16.035181,4544,35,1,ios,AU
51,2026-02-06 23:07:16.035184,3322,49,4,ios,IN
52,2026-01-07 05:36:16.035187,3400,7,3,desktop,UK
53,2026-02-07 06:01:16.035189,4137,22,4,ios,CA
54,2026-01-20 20:09:16.035192,2102,10,1,ios,IN
55,2026-02-11 15:25:16.035196,1597,23,12,ios,AU
56,2025-12-29 22:47:16.035199,2659,15,13,android,UK
57,2026-01-29 14:44:16.035202,4273,30,2,android,IN
58,2025-12-21 14:57:16.035204,2685,34,9,desktop,CA
59,2026-01-07 22:43:16.035207,3605,13,7,ios,US
60,2026-01-06 07:25:16.035210,3160,4,13,ios,AU
61,2025-12-23 10:09:16.035213,4162,18,2,android,IN
62,2026-02-10 01:07:16.035215,3188,23,1,ios,IN
63,2026-01-08 08:07:16.035218,4360,33,18,desktop,US
64,2025-12-31 22:55:16.035221,2924,34,7,ios,UK
65,2025-12-30 17:31:16.035223,1729,34,18,desktop,US
