conversion_id,click_id,timestamp,revenue,status,campaign_id
1,4130,2025-12-22 10:10:16.090837,47.02,approved,25
2,4275,2026-02-07 03:08:16.090853,32.27,approved,26
3,1765,2026-02-07 01:25:16.090856,22.8,approved,1
4,8436,2025-12-17 07:44:16.090857,3.13,approved,43
5,8062,2026-01-16 09:52:16.090859,38.38,rejected,48
6,2065,2026-01-28 11:16:16.090861,42.99,approved,33
7,5182,2026-01-31 05:32:16.090877,40.57,approved,19
8,3552,2025-12-26 00:39:16.090881,36.92,approved,20
9,8270,2025-12-19 09:26:16.090884,48.49,approved,18
10,5118,2026-02-13 16:03:16.090887,42.53,approved,26
11,6435,2026-01-26 01:18:16.090889,46.43,approved,39
12,8362,2026-02-21 06:27:16.090892,36.66,approved,9
13,3448,2025-12-30 00:13:16.090895,41.1,approved,27
14,1608,2025-12-24 11:19:16.090897,14.81,rejected,6
15,9819,2026-01-01 01:17:16.090900,33.61,rejected,20
16,2534,2026-01-12 06:04:16.090902,10.67,approved,38
17,9118,2026-02-18 15:15:16.090904,3.93,approved,1
18,6968,2026-02-07 16:04:16.090907,29.17,approved,38
19,6637,2026-01-21 00:53:16.090910,39.25,approved,16
20,3565,2026-01-16 08:28:16.090912,4.6,approved,4
21,7028,2026-01-27 21:22:16.090914,9.47,approved,3
22,6481,2025-12-30 19:23:16.090916,5.1,approved,22
23,9456,2025-12-29 03:52:16.090918,31.89,rejected,9
24,111,2025-12-23 20:51:16.090921,4.44,approved,8
25,6145,2025-12-16 13:31:16.090924,5.12,approved,7
26,7589,2026-01-29 07:15:16.090926,13.58,approved,12
27,4805,2026-01-27 07:31:16.090929,13.88,approved,1
28,1640,2025-12-20 01:06:16.090932,28.1,approved,12
29,2372,2026-01-10 11:00:16.090934,2.09,rejected,16
30,1840,2026-01-09 02:53:16.090937,30.96,approved,14
31,2336,2026-01-17 01:07:16.090940,20.88,approved,30
32,1111,2026-01-03 15:59:16.090942,9.35,approved,43
33,964,2026-01-16 00:44:16.090945,32.84,rejected,19
34,1363,2026-02-15 16:52:16.090948,16.82,approved,19
35,7428,2025-12-17 10:20:16.090951,41.46,approved,13
36,1963,2026-02-03 01:49:16.090953,49.48,approved,44
37,2722,2025-12-17 07:59:16.090955,39.06,rejected,10
38,4722,2026-01-22 00:16:16.090958,37.28,approved,47
39,554,2025-12-22 14:45:16.090960,18.08,rejected,29
40,6502,2026-02-18 13:51:16.090962,26.96,approved,28
41,9187,2026-02-12 03:47:16.090965,3.11,approved,13
42,1009,2025-12-18 16:10:16.090968,36.5,approved,45
43,5711,2026-01-16 19:46:16.090971,33.91,approved,15
44,7796,2025-12-23 03:08:16.090973,13.83,approved,17
45,2725,2026-01-27 06:10:16.090976,26.94,approved,23
46,7259,2025-12-17 21:28:16.090978,34.13,rejected,43
47,8057,2026-02-05 01:09:16.090981,18.71,rejected,10
48,146,2025-12-17 06:51:16.090983,36.42,approved,36
49,7609,2026-02-22 08:37:16.090985,39.94,rejected,49
50,4723,2026-01-21 11:29:16.090987,11.57,approved,14
51,2886,2026-02-21 09:46:16.090990,15.41,approved,32
52,1516,2026-02-20 18:00:16.090991,20.38,rejected,34
53,6996,2026-01-19 14:36:16.090993,12.17,approved,31
54,709,2026-01-21 05:29:16.090996,38.89,approved,39
55,4564,2025-12-19 05:28:16.090997,28.81,approved,32
56,4311,2025-12-27 18:51:16.090999,19.32,rejected,16
57,1729,2025-12-26 22:48:16.091000,1.3,approved,26
58,4218,2026-01-10 19:04:16.091002,16.63,approved,17
59,9307,2026-02-14 02:47:16.091003,41.91,approved,22
60,5434,2025-12-31 20:59:16.091005,37.3,approved,36
61,7138,2026-02-21 22:23:16.091006,3.84,rejected,35
62,5502,2026-01-05 21:29:16.091008,40.17,rejected,23
63,2317,2026-01-23 01:41:16.091009,9.36,approved,25
64,8235,2025-12-21 08:19:16.091010,49.36,approved,5
65,1335,2026-01-06 20:46:16.091012,43.49,approved,6
66,5467,2026-01-18 21:22:16.091014,45.71,approved,26
67,3312,2025-12-19 02:12:16.091015,38.59,approved,38
68,1727,2026-01-01 12:41:16.091016,35.68,approved,6
69,7264,2026-01-03 23:54:16.091018,12.6,approved,19
70,5098,2026-01-05 18:22:16.091019,29.53,approved,43
71,5776,2025-12-29 14:40:16.091021,34.97,approved,19
72,2303,2026-01-05 03:31:16.091022,14.76,approved,46
73,3587,2026-01-02 15:32:16.091024,20.22,approved,47
74,3641,2026-01-19 07:11:16.091025,47.38,rejected,31
75,9507,2026-01-28 15:05:16.091027,20.69,approved,37
76,9351,2025-12-29 01:36:16.091028,16.11,approved,23
77,4435,2026-02-10 02:09:16.091029,5.81,rejected,12
78,4506,2026-02-07 20:52:16.091033,17.4,rejected,13
79,4874,2026-01-14 02:30:16.091034,30.8,approved,22
80,4363,2026-01-15 02:40:16.091035,7.81,approved,3
81,5243,2026-01-21 21:37:16.091037,30.46,approved,12
82,6513,2026-01-22 23:27:16.091038,37.19,approved,37
83,1565,2026-01-19 17:28:16.091040,38.53,approved,31
84,5931,2026-02-06 19:57:16.091041,49.25,approved,13
85,1227,2026-01-18 04:30:16.091042,22.01,approved,23
86,5900,2026-01-31 22:46:16.091044,2.11,approved,13
87,2590,2026-01-25 09:49:16.091045,42.81,approved,6
88,6930,2025-12-17 11:20:16.091047,4.63,approved,48
89,9964,2025-12-22 23:26:16.091048,43.15,approved,3
90,9919,2026-02-02 23:20:16.091049,49.14,approved,7
91,6543,2026-02-06 20:17:16.091051,45.39,approved,10
92,9058,2026-01-26 07:06:16.091052,48.22,approved,31
93,7022,2026-02-20 22:39:16.091054,1.66,approved,4
94,8456,2026-02-14 07:37:16.091056,1.06,rejected,44
95,6573,2026-02-03 13:49:16.091057,10.91,approved,6
96,2715,2025-12-25 20:34:16.091058,40.04,approved,18
97,8435,2026-02-10 04:05:16.091060,4.93,approved,7
98,79,2026-01-22 04:05:16.091061,37.45,rejected,34
99,6660,2026-01-10 05:26:16.091063,1.12,approved,23
100,8503,2025-12-20 08:12:16.091064,36.69,approved,8
101,7309,2026-01-29 02:11:16.091066,12.88,approved,24
102,4008,2026-01-01 16:23:16.091067,22.3,approved,28
103,2989,2026-01-30 11:20:16.091068,48.84,approved,45
104,7646,2026-01-28 19:59:16.091070,27.81,approved,3
105,7288,2026-01-24 12:34:16.091071,4.19,rejected,13
106,4923,2026-02-14 20:57:16.091072,43.72,approved,39
107,4479,2025-12-19 06:45:16.091074,16.52,approved,33
108,2360,2026-02-12 10:46:16.091075,29.47,approved,16
109,7999,2025-12-17 21:03:16.091077,35.73,approved,11
110,3286,2026-02-16 13:21:16.091082,38.99,approved,29
111,6681,2026-02-18 23:52:16.091083,21.91,approved,25
112,2544,2026-02-18 17:33:16.091085,38.77,approved,17
113,8290,2025-12-25 19:14:16.091087,6.29,approved,37
114,3372,2026-02-20 21:01:16.091088,26.52,approved,6
115,8769,2026-01-19 22:58:16.091090,1.58,approved,46
116,1105,2026-02-10 20:40:16.091091,20.61,approved,14
117,7453,2026-02-07 02:11:16.091093,18.56,approved,19
118,8681,2026-01-14 22:23:16.091094,48.92,approved,37
119,8646,2026-01-05 22:05:16.091096,20.19,approved,43
120,8712,2026-01-10 22:32:16.091097,45.4,approved,12
121,6550,2026-01-06 04:49:16.091099,22.05,approved,19
122,1689,2026-02-09 02:04:16.091100,26.9,approved,21
123,6081,2026-02-10 01:43:16.091102,17.86,approved,29
124,2127,2025-12-16 21:11:16.091103,32.18,approved,28
125,1519,2026-02-08 09:03:16.091105,37.09,approved,17
126,5224,2025-12-24 16:17:16.091106,39.66,rejected,49
127,9493,2026-02-22 05:55:16.091107,34.85,approved,2
128,1771,2025-12-17 23:29:16.091109,16.83,rejected,6
129,2675,2026-02-10 12:38:16.091110,16.86,approved,25
130,2301,2025-12-27 01:12:16.091112,17.72,approved,19
